매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,시간대,분기,총 상주인구 수,총 가구 수,총_직장인구_수,시간대_생활인구_수,관공서_수,은행_수,백화점_수,숙박_시설_수,area,시간대_버스_승하차승객수,시간대_지하철_승하차승객수,지하철역_수,평일_생활인구_평균,주말_생활인구_평균,상권내_총_아파트_세대_수,배후지_총_아파트_세대_수,면적당_버스정류장_수,면적당_점포_수,면적당_집객시설_수,직장인구/상주인구
73069.81868,2020,골목상권,2110966,논현2동주민센터,1,1,2887,1539,1637,365530,0,0,0,2,93544,0,0,0,341298.6,237948.5,843,2861.336653,0,0.64140939,0.962114085,0.567024593
282864.2442,2020,골목상권,2110967,역삼역 8번,1,1,1307,877,377,135009,0,0,0,3,68671,0,0,0,100603.2,73712.5,379,2861.484294,0,1.310596904,1.019353148,0.288446825
380182.884,2020,골목상권,2110971,선정릉역 4번,1,1,3836,2425,1542,207050,1,1,0,4,133221,0,0,0,127388.6,101139,1637,2861.667412,0,0.675569167,0.525442685,0.40198123
12249.52747,2020,골목상권,2110972,강남세브란스병원미래의학연구센터,1,1,1995,1013,2628,67624,0,0,0,0,46603,0,0,0,33195.6,30721,630,2861.004773,0,0.643735382,0.429156921,1.317293233
123777.8022,2020,골목상권,2110974,언주중학교,1,1,1479,770,292,186263,0,0,0,0,35150,0,0,0,106913.6,95530,535,2860.741442,0,1.706970128,0.568990043,0.197430696
84833.38828,2020,골목상권,2110975,매봉역 1번,1,1,944,361,10837,56700,0,0,0,0,52363,9097,10593,1,41178.2,39197.5,250,2860.478418,0.572923629,1.145847259,2.100719974,11.47987288
45202.32967,2020,골목상권,2110976,언북초등학교,1,1,2011,1046,578,166711,0,0,0,0,55724,0,0,0,112431.6,100433,476,2860.834034,0,1.076735338,0.358911779,0.287419194
45050.42002,2020,골목상권,2110977,논현로18길,1,1,707,335,148,32101,0,0,0,0,17287,0,0,0,19525.2,16803.5,108,2860.839798,0,5.20622433,0,0.209335219
60238.17216,2020,골목상권,2110980,개포지구대옆,1,1,2707,1114,663,164104,0,0,0,0,85827,0,0,0,94194,83731,679,2861.235564,0,0.349540354,0.233026903,0.244920576
111115.7399,2020,골목상권,2110981,국악고교사거리,1,1,2105,876,361,147995,0,0,0,0,67409,495,0,0,75600.8,73144.5,543,2861.480246,0.593392574,1.335133291,1.038437004,0.171496437
107218.8132,2020,골목상권,2110983,국립국악고등학교,1,1,2836,1257,783,142178,1,0,0,0,56041,0,0,0,76496.4,73060,602,2861.395863,0,0.535322353,0.713763138,0.276093089
68735.03755,2020,골목상권,2110984,포이초등학교(개포목련어린이공원),1,1,4522,1948,1556,326912,0,0,0,1,137097,199,0,0,138894.4,135025,1079,2861.648111,0.072941056,0.875292676,1.021174789,0.344095533
198378.8095,2020,골목상권,2110985,청담근린공원,1,1,980,472,1338,69924,0,0,0,0,43265,0,0,0,47036.8,41559.5,239,2861.709214,0,0.693401133,0.231133711,1.365306122
52457.19414,2020,골목상권,2110988,청담역 3번,1,1,1340,480,1594,36951,0,0,0,0,79185,0,30923,1,28663.2,27452.5,345,2862.006177,0,0.378859633,0.631432721,1.189552239
86405.76557,2020,골목상권,2110989,대치동아우편취급국,1,1,1575,908,444,133641,2,0,0,3,40587,0,0,0,96225,75905,671,2862.388679,0,2.217458792,1.724690172,0.281904762
78996.98535,2020,골목상권,2110992,도곡초등학교,1,1,8040,3724,2179,519625,2,0,0,1,138866,0,0,0,259506.8,275067,1927,2861.757591,0,1.296213616,0.57609494,0.2710199
47709.76923,2020,골목상권,2110994,개포고등학교,1,1,1706,744,494,196928,1,0,0,4,61589,0,0,0,83572.4,84549,321,2860.287907,0,0.974199938,2.760233159,0.289566237
35593.65568,2020,골목상권,2110995,봉은사역 4번,1,1,2888,1115,5085,148306,0,0,0,0,122756,0,0,0,81447,76941.5,893,2860.52261,0.081462413,0.24438724,0.570236893,1.760734072
52810.58608,2020,골목상권,2110996,대치2동주민센터,1,1,1545,729,1959,156870,1,0,0,0,112840,3,0,0,107049.8,98040,727,2860.170744,0.088621056,0.265863169,0.354484225,1.267961165
188701.8599,2020,골목상권,2110997,대청초등학교,1,1,7401,3439,1724,899751,0,2,0,6,236963,7721,0,0,388234.2,378576.5,739,2859.332482,0.548608855,1.012816347,2.152234737,0.232941494
222523.3993,2020,골목상권,2110999,윗방죽마을공원,1,1,3125,2339,268,31529,0,1,0,0,239796,3133,0,0,16159.4,17144,17,2859.110954,0.166808454,0.250212681,0.166808454,0.08576
0,2020,골목상권,2111000,대왕초등학교(세곡동사거리서남측),1,1,458,199,39,3537,0,0,0,0,52892,603,0,0,9192.2,8739.5,0,2859.34975,0.189064509,0.567193526,0.945322544,0.085152838
0,2020,골목상권,2111002,한국교통안전공단 강남자동차검사소,1,1,317,0,317,0,0,0,0,0,59240,570,0,0,10.8,78,0,2860.165729,0.168804862,0.506414585,0.506414585,1
175753.2619,2020,골목상권,2110949,한남IC,1,2,618,300,1683,81074,0,0,0,0,62126,0,0,0,59781.2,51582,112,2860.165729,0,0.965779223,0.321926408,2.723300971
112557.9341,2020,골목상권,2110951,신사은행나무공원,1,2,1039,580,273,130109,0,0,0,1,29000,0,0,0,87944.8,70970,161,2860.3628,0,1.034482759,0.689655172,0.262752647
150574.3663,2020,골목상권,2110952,논현목련공원,1,2,879,583,117,72026,0,0,0,0,21629,0,0,0,35001.8,34551.5,257,2861.082234,0,1.387026677,0.924684451,0.133105802
30195.31502,2020,골목상권,2110954,국기원,1,2,497,335,636,46303,0,0,0,2,39798,0,0,0,65280.6,60065.5,34,2861.331332,0,0.753806724,0.753806724,1.279678068
218306.5714,2020,골목상권,2110955,논현초등학교,1,2,7080,4369,3430,709538,0,0,0,2,190912,0,0,0,396475,366748.5,1958,2862.21027,0,1.571404626,0.523801542,0.484463277
181537.7179,2020,골목상권,2110957,언북중학교,1,2,1816,1116,1251,179300,0,0,0,3,94815,0,0,0,156722.4,100815.5,532,2861.312398,0,0.632811264,0.843748352,0.688876652
122343.3333,2020,골목상권,2110958,역삼역 4번,1,2,858,528,994,66614,0,0,0,2,73119,0,0,0,72654.2,42943.5,290,2861.964757,0,0.410290075,1.230870225,1.158508159
42585.68132,2020,골목상권,2110959,신구중학교,1,2,365,166,271,21486,0,0,0,0,35959,0,0,0,19822.6,14757.5,82,2862.494938,0,0.83428349,2.224755972,0.742465753
94401.8022,2020,골목상권,2110960,은광여고,1,2,719,417,1522,29259,0,0,0,1,25543,0,0,0,16437.8,14330.5,239,2863.362283,0,1.174490076,1.565986767,2.116828929
124104.8114,2020,골목상권,2110961,언주역 3번,1,2,2169,1298,962,139886,1,0,0,1,63031,0,0,0,119568.4,88421.5,612,2863.719785,0,0.951912551,0.475956275,0.443522361
49563.4359,2020,골목상권,2110963,역삼월드메르디앙아파트,1,2,1724,847,780,127310,0,0,0,1,40391,0,0,0,62226.4,55935,543,2863.609714,0,0.742739719,0.247579906,0.452436195
128602.7967,2020,골목상권,2110965,언주역 6번,1,2,2309,1512,1139,169546,0,0,0,2,65107,0,0,0,127942.4,98625.5,694,2863.375899,0,0.921559894,0.307186631,0.493287137
94191.66758,2020,골목상권,2110966,논현2동주민센터,1,2,2887,1539,1637,293277,0,0,0,2,93544,0,0,0,268883.2,189737,843,2863.343569,0,0.42760626,0.962114085,0.567024593
240980.7521,2020,골목상권,2110967,역삼역 8번,1,2,1307,877,377,130901,0,0,0,3,68671,0,0,0,99930.2,71507.5,379,2863.491983,0,1.310596904,1.019353148,0.288446825
371924.0525,2020,골목상권,2110971,선정릉역 4번,1,2,3836,2425,1542,208909,1,1,0,4,133221,0,0,0,129777.4,105131.5,1637,2863.675862,0,0.675569167,0.525442685,0.40198123
16845.64103,2020,골목상권,2110972,강남세브란스병원미래의학연구센터,1,2,1995,1013,2628,68570,0,0,0,0,46603,0,0,0,33722.4,30993,630,2863.014336,0,0.643735382,0.429156921,1.317293233
111817.1337,2020,골목상권,2110974,언주중학교,1,2,1479,770,292,184523,0,0,0,0,35150,0,0,0,105949,95156.5,535,2862.751951,0,1.706970128,0.568990043,0.197430696
119627.3718,2020,골목상권,2110975,매봉역 1번,1,2,944,361,10837,56061,0,0,0,0,52363,9023,7155,1,40955.8,39348,250,2862.489873,0.572923629,1.145847259,2.100719974,11.47987288
47249.66484,2020,골목상권,2110976,언북초등학교,1,2,2011,1046,578,180128,0,0,0,0,55724,0,0,0,118187.8,105511,476,2862.846179,0,1.076735338,0.358911779,0.287419194
53973.4359,2020,골목상권,2110977,논현로18길,1,2,707,335,148,33211,0,0,0,0,17287,0,0,0,20432,17445,108,2862.852779,0,5.20622433,0,0.209335219
57026.40659,2020,골목상권,2110980,개포지구대옆,1,2,2707,1114,663,140237,0,0,0,0,85827,0,0,0,77960.2,67762.5,679,2863.249219,0,0.349540354,0.233026903,0.244920576
125653.4799,2020,골목상권,2110981,국악고교사거리,1,2,2105,876,361,143475,0,0,0,0,67409,569,0,0,76077,72953.5,543,2863.494637,0.593392574,1.335133291,1.038437004,0.171496437
163445.8242,2020,골목상권,2110983,국립국악고등학교,1,2,2836,1257,783,125206,1,0,0,0,56041,0,0,0,61956.4,58735.5,602,2863.411128,0,0.535322353,0.713763138,0.276093089
62985.95513,2020,골목상권,2110984,포이초등학교(개포목련어린이공원),1,2,4522,1948,1556,322638,0,0,0,1,137097,204,0,0,135608.4,131667.5,1079,2863.664111,0.072941056,0.875292676,1.021174789,0.344095533
178933.9414,2020,골목상권,2110985,청담근린공원,1,2,980,472,1338,73633,0,0,0,0,43265,0,0,0,47333.2,41525,239,2863.726028,0,0.693401133,0.231133711,1.365306122
68559.49084,2020,골목상권,2110988,청담역 3번,1,2,1340,480,1594,35463,0,0,0,0,79185,0,26324,1,27747,26977,345,2864.023707,0,0.378859633,0.631432721,1.189552239
97075.72039,2020,골목상권,2110989,대치동아우편취급국,1,2,1575,908,444,127669,2,0,0,3,40587,0,0,0,88693,71351,671,2864.40689,0,2.217458792,1.724690172,0.281904762
90904.48779,2020,골목상권,2110992,도곡초등학교,1,2,8040,3724,2179,484082,2,0,0,1,138866,0,0,0,251094.8,279559,1927,2863.776906,0,1.296213616,0.57609494,0.2710199
37018.18681,2020,골목상권,2110994,개포고등학교,1,2,1706,744,494,194130,1,0,0,4,61589,0,0,0,88556.2,86335,321,2862.308675,0,0.974199938,2.760233159,0.289566237
43051.22344,2020,골목상권,2110995,봉은사역 4번,1,2,2888,1115,5085,156621,0,0,0,0,122756,1,0,0,85648.2,86189.5,893,2862.544122,0.081462413,0.24438724,0.570236893,1.760734072
49571.69963,2020,골목상권,2110996,대치2동주민센터,1,2,1545,729,1959,161196,1,0,0,0,112840,0,0,0,106971.2,102566,727,2862.193245,0.088621056,0.265863169,0.354484225,1.267961165
198618.1424,2020,골목상권,2110997,대청초등학교,1,2,7401,3439,1724,888592,0,2,0,6,236963,8370,0,0,387679.2,372152.5,739,2861.356174,0.548608855,0.970615666,2.152234737,0.232941494
222434.5733,2020,골목상권,2110999,윗방죽마을공원,1,2,3125,2339,268,22007,0,1,0,0,239796,2608,0,0,12023.4,13420,17,2861.135581,0.166808454,0.250212681,0.166808454,0.08576
0,2020,골목상권,2111000,대왕초등학교(세곡동사거리서남측),1,2,458,199,39,3589,0,0,0,0,52892,637,0,0,9000.4,8607,0,2861.375121,0.189064509,0.567193526,0.945322544,0.085152838
0,2020,골목상권,2111002,한국교통안전공단 강남자동차검사소,1,2,317,0,317,0,0,0,0,0,59240,505,0,0,30,102,0,2862.191604,0.168804862,0.506414585,0.506414585,1
176096.4475,2020,골목상권,2110949,한남IC,1,3,618,300,1683,68563,0,0,0,0,62126,0,0,0,53751.8,45365,112,2862.191604,0,0.965779223,0.321926408,2.723300971
126471.4457,2020,골목상권,2110951,신사은행나무공원,1,3,1039,580,273,132250,0,0,0,1,29000,0,0,0,88243,72550,161,2862.389435,0,1.034482759,0.689655172,0.262752647
149246.779,2020,골목상권,2110952,논현목련공원,1,3,879,583,117,63079,0,0,0,0,21629,0,0,0,31289.2,31007,257,2863.109414,0,1.387026677,0.924684451,0.133105802
31144.86594,2020,골목상권,2110954,국기원,1,3,497,335,636,49829,0,0,0,2,39798,0,0,0,68773.2,63416,34,2863.359252,0,0.753806724,0.753806724,1.279678068
266085.7444,2020,골목상권,2110955,논현초등학교,1,3,7080,4369,3430,718388,0,0,0,2,190912,0,0,0,412457.8,380383,1958,2864.238669,0,1.519024472,0.523801542,0.484463277
206127.1594,2020,골목상권,2110957,언북중학교,1,3,1816,1116,1251,174285,0,0,0,3,94815,0,0,0,149910,98264.5,532,2863.342015,0,0.632811264,0.843748352,0.688876652
150332.5688,2020,골목상권,2110958,역삼역 4번,1,3,858,528,994,66041,0,0,0,2,73119,0,0,0,68305.8,41353.5,290,2863.994947,0,0.410290075,1.230870225,1.158508159
34016.88768,2020,골목상권,2110959,신구중학교,1,3,365,166,271,18745,0,0,0,0,35959,0,0,0,18927,14121.5,82,2864.525753,0,0.83428349,2.224755972,0.742465753
108198.6558,2020,골목상권,2110960,은광여고,1,3,719,417,1522,28094,0,0,0,1,25543,0,0,0,15853.8,13967.5,239,2865.393582,0,1.174490076,1.565986767,2.116828929
117854.308,2020,골목상권,2110961,언주역 3번,1,3,2169,1298,962,155417,1,0,0,1,63031,0,0,0,128248.2,97907,612,2865.751781,0,0.951912551,0.475956275,0.443522361
72230.90217,2020,골목상권,2110963,역삼월드메르디앙아파트,1,3,1724,847,780,125411,0,0,0,1,40391,0,0,0,62460.8,56080,543,2865.642601,0,0.742739719,0.247579906,0.452436195
154421.9384,2020,골목상권,2110965,언주역 6번,1,3,2309,1512,1139,170160,0,0,0,2,65107,0,0,0,127219.6,99961,694,2865.40973,0,0.921559894,0.307186631,0.493287137
87916.22554,2020,골목상권,2110966,논현2동주민센터,1,3,2887,1539,1637,284661,0,0,0,2,93544,0,0,0,267166.2,188422,843,2865.37826,0,0.42760626,0.962114085,0.567024593
266156.4263,2020,골목상권,2110967,역삼역 8번,1,3,1307,877,377,128353,0,0,0,3,68671,0,0,0,98576,72275.5,379,2865.52746,0,1.310596904,1.019353148,0.288446825
441468.4524,2020,골목상권,2110971,선정릉역 4번,1,3,3836,2425,1542,222244,1,1,0,4,133221,0,0,0,134334.8,111264,1637,2865.712109,0,0.600505926,0.525442685,0.40198123
13316.31884,2020,골목상권,2110972,강남세브란스병원미래의학연구센터,1,3,1995,1013,2628,67016,0,0,0,0,46603,0,0,0,33369.8,30480.5,630,2865.051706,0,0.643735382,0.429156921,1.317293233
114360.4692,2020,골목상권,2110974,언주중학교,1,3,1479,770,292,185718,0,0,0,0,35150,0,0,0,109115.6,98755,535,2864.790279,0,1.706970128,0.568990043,0.197430696
93593.99457,2020,골목상권,2110975,매봉역 1번,1,3,944,361,10837,56042,0,0,0,0,52363,8311,7555,1,41217.2,39490.5,250,2864.529159,0.572923629,1.145847259,2.100719974,11.47987288
36389.84239,2020,골목상권,2110976,언북초등학교,1,3,2011,1046,578,174889,0,0,0,0,55724,0,0,0,126370.6,108895,476,2864.886166,0,1.076735338,0.358911779,0.287419194
51427.33816,2020,골목상권,2110977,논현로18길,1,3,707,335,148,32014,0,0,0,0,17287,0,0,0,20058.6,17201,108,2864.893612,0,5.20622433,0,0.209335219
67900.47464,2020,골목상권,2110980,개포지구대옆,1,3,2707,1114,663,139710,0,0,0,0,85827,0,0,0,77256.6,67897.5,679,2865.290737,0,0.349540354,0.233026903,0.244920576
152896.1051,2020,골목상권,2110981,국악고교사거리,1,3,2105,876,361,140411,0,0,0,0,67409,691,0,0,75033.6,72492,543,2865.536903,0.593392574,1.335133291,1.038437004,0.171496437
26878.68478,2020,골목상권,2110982,강남구보훈회관,1,3,837,409,166,58802,0,0,0,1,19865,0,0,0,30688.6,32057,844,2865.454279,0,0.503397936,0.503397936,0.19832736
125321.721,2020,골목상권,2110983,국립국악고등학교,1,3,2836,1257,783,123815,1,0,0,0,56041,0,0,0,60867,57733,602,2864.949056,0,0.535322353,0.713763138,0.276093089
83406.01812,2020,골목상권,2110984,포이초등학교(개포목련어린이공원),1,3,4522,1948,1556,322151,0,0,0,1,137097,223,0,0,136647,132774,1079,2865.202573,0.072941056,0.875292676,1.021174789,0.344095533
135846.0326,2020,골목상권,2110985,청담근린공원,1,3,980,472,1338,72076,0,0,0,0,43265,0,0,0,45843.8,40910.5,239,2865.265105,0,0.693401133,0.231133711,1.365306122
73670.48913,2020,골목상권,2110988,청담역 3번,1,3,1340,480,1594,35191,0,0,0,0,79185,0,24672,1,26772.6,26296,345,2865.563301,0,0.378859633,0.631432721,1.189552239
117604.3164,2020,골목상권,2110989,대치동아우편취급국,1,3,1575,908,444,143955,2,0,0,3,40587,0,0,0,104013,83059,671,2865.946966,0,2.217458792,1.724690172,0.281904762
98996.39915,2020,골목상권,2110992,도곡초등학교,1,3,8040,3724,2179,491004,2,0,0,1,138866,0,0,0,263059.2,288035.5,1927,2865.317885,0,1.296213616,0.57609494,0.2710199
38665.42391,2020,골목상권,2110994,개포고등학교,1,3,1706,744,494,191347,1,0,0,4,61589,0,0,0,89081.8,85755.5,321,2863.850906,0,0.974199938,2.760233159,0.289566237
43771.31884,2020,골목상권,2110995,봉은사역 4번,1,3,2888,1115,5085,152676,0,0,0,0,122756,5,0,0,80714.2,80878,893,2864.086897,0.081462413,0.24438724,0.570236893,1.760734072
47214.5942,2020,골목상권,2110996,대치2동주민센터,1,3,1545,729,1959,164310,1,0,0,0,112840,0,0,0,108410.8,102977,727,2863.736809,0.088621056,0.265863169,0.354484225,1.267961165
226543.0792,2020,골목상권,2110997,대청초등학교,1,3,7401,3439,1724,843823,0,2,0,6,236963,8606,0,0,376414.6,361136.5,739,2862.900729,0.548608855,0.886214303,2.152234737,0.232941494
234568,2020,골목상권,2110999,윗방죽마을공원,1,3,3125,2339,268,19725,0,1,0,0,239796,2599,0,0,11704.8,12535,17,2862.680871,0.166808454,0.250212681,0.166808454,0.08576
0,2020,골목상권,2111000,대왕초등학교(세곡동사거리서남측),1,3,458,199,39,3315,0,0,0,0,52892,550,0,0,8372,7872.5,0,2862.920955,0.189064509,0.567193526,0.945322544,0.085152838
0,2020,골목상권,2111002,한국교통안전공단 강남자동차검사소,1,3,317,0,317,0,0,0,0,0,59240,617,0,0,8.4,66,0,2863.737741,0.168804862,0.506414585,0.506414585,1
137463.1649,2020,골목상권,2110949,한남IC,1,4,564,281,1683,62156,0,0,0,0,62126,0,0,0,48256,40918.5,112,2863.737741,0,0.965779223,0.482889611,2.984042553
92178.30435,2020,골목상권,2110951,신사은행나무공원,1,4,979,574,273,132045,0,0,0,0,29000,0,0,0,87944,72718.5,161,2863.928227,0,1.034482759,0.344827586,0.278855975
140522.221,2020,골목상권,2110952,논현목련공원,1,4,868,571,117,51590,0,0,0,0,21629,0,0,0,24291.8,24552.5,257,2864.653124,0,1.387026677,0.924684451,0.134792627
26777.27899,2020,골목상권,2110954,국기원,1,4,448,303,636,41906,0,0,0,2,39798,0,0,0,58139.8,54275,34,2864.879364,0,0.753806724,0.753806724,1.419642857
248003.9097,2020,골목상권,2110955,논현초등학교,1,4,7089,4515,3430,704867,0,0,0,0,190912,0,0,0,402306.8,377699,2056,2865.766538,0,1.519024472,0.62856185,0.483848216
177715.3496,2020,골목상권,2110957,언북중학교,1,4,1761,1088,1251,173881,0,0,0,0,94815,0,0,0,143751.8,96399.5,529,2864.778925,0,0.632811264,0.738279808,0.710391823
141416.0761,2020,골목상권,2110958,역삼역 4번,1,4,861,544,994,59420,0,0,0,0,73119,0,0,0,60105.6,37095,290,2865.442587,0,0.410290075,0.547053433,1.154471545
25825.82609,2020,골목상권,2110959,신구중학교,1,4,361,170,271,18068,0,0,0,0,35959,0,0,0,17144.6,13136,82,2865.964202,0,0.83428349,0.83428349,0.750692521
111548.0326,2020,골목상권,2110960,은광여고,1,4,727,422,1522,27506,0,0,0,0,25543,0,0,0,15250.6,13496.5,239,2866.831437,0,1.174490076,1.174490076,2.093535076
99664.69099,2020,골목상권,2110961,언주역 3번,1,4,2163,1335,962,158098,1,0,0,0,63031,0,0,0,126002.6,98031.5,668,2867.154296,0,1.110564643,0.158652092,0.444752658
63401.60507,2020,골목상권,2110963,역삼월드메르디앙아파트,1,4,1684,860,780,118587,0,0,0,1,40391,0,0,0,60664.6,54909.5,596,2867.004964,0,0.742739719,0.247579906,0.463182898
122389.0906,2020,골목상권,2110965,언주역 6번,1,4,2245,1500,1139,167983,0,0,0,2,65107,0,0,0,125045.8,100568.5,706,2866.708253,0,0.921559894,0.307186631,0.507349666
62458.22826,2020,골목상권,2110966,논현2동주민센터,1,4,2864,1577,1637,288440,0,0,0,0,93544,0,0,0,261039,187422.5,842,2866.647791,0,0.64140939,0.534507825,0.571578212
258254.3176,2020,골목상권,2110967,역삼역 8번,1,4,1279,864,377,125972,0,0,0,0,68671,0,0,0,94742.2,69596.5,393,2866.797873,0,1.310596904,0.436865635,0.294761532
340084.0616,2020,골목상권,2110971,선정릉역 4번,1,4,3870,2549,1542,220345,0,1,0,0,133221,0,0,0,131744.8,111778.5,1663,2866.953428,0,0.675569167,0.075063241,0.398449612
14605.90942,2020,골목상권,2110972,강남세브란스병원미래의학연구센터,1,4,1921,1003,2628,70654,0,0,0,0,46603,0,0,0,36348.2,32533,624,2866.255947,0,0.643735382,0.429156921,1.36803748
106914.7391,2020,골목상권,2110974,언주중학교,1,4,1513,796,292,185049,0,0,0,0,35150,0,0,0,101708.4,94135.5,542,2865.959757,0,1.706970128,0.568990043,0.192994052
86148.36413,2020,골목상권,2110975,매봉역 1번,1,4,890,353,10837,54408,0,0,0,0,52363,6777,6734,1,39603.6,37968,250,2865.683419,0.572923629,1.145847259,2.291694517,12.17640449
41973.46558,2020,골목상권,2110976,언북초등학교,1,4,2022,1080,578,160778,1,0,0,0,55724,0,0,0,114801.2,101734.5,528,2866.039093,0,1.076735338,0.358911779,0.285855589
45344.25362,2020,골목상권,2110977,논현로18길,1,4,691,340,148,23731,0,0,0,0,17287,0,0,0,17884,14711.5,119,2866.020382,0,5.20622433,0,0.214182344
48525.01449,2020,골목상권,2110980,개포지구대옆,1,4,2629,1125,663,157609,0,0,0,0,85827,0,0,0,84460.8,76034,701,2866.350811,0,0.349540354,0.116513451,0.252187143
122142.3949,2020,골목상권,2110981,국악고교사거리,1,4,2118,907,361,108501,0,0,0,0,67409,610,0,0,67165.8,63112,580,2866.541552,0.593392574,1.335133291,0.296696287,0.170443815
48383.57246,2020,골목상권,2110982,강남구보훈회관,1,4,827,406,166,56512,0,0,0,0,19865,0,0,0,29460,30299,206,2866.399455,0,1.510193808,0.503397936,0.200725514
162883.808,2020,골목상권,2110983,국립국악고등학교,1,4,2703,1231,783,130659,1,0,0,0,56041,0,0,0,64339.6,62863,611,2865.859047,0,0.535322353,0.535322353,0.289678135
62599.91123,2020,골목상권,2110984,포이초등학교(개포목련어린이공원),1,4,4267,1912,1556,325586,0,0,0,0,137097,222,0,0,136237.4,134354.5,1067,2866.070807,0.072941056,0.875292676,0.729410563,0.364659011
112834.0036,2020,골목상권,2110985,청담근린공원,1,4,956,480,1338,61904,0,0,0,0,43265,0,0,0,41310.8,37607.5,239,2866.125768,0,0.693401133,0.231133711,1.39958159
62732.18478,2020,골목상권,2110988,청담역 3번,1,4,1289,463,1594,43639,0,0,0,0,79185,0,21603,1,29880,29929.5,345,2866.44334,0,0.378859633,0.252573088,1.236617533
83227.01329,2020,골목상권,2110989,대치동아우편취급국,1,4,1588,904,444,142585,1,0,0,0,40587,0,0,0,101556.8,81554,687,2866.708194,0,2.217458792,0.24638431,0.279596977
89030.34541,2020,골목상권,2110992,도곡초등학교,1,4,7894,3681,2179,493643,3,0,0,0,138866,0,0,0,254919.8,284296.5,1958,2866.047232,0,1.296213616,0.216035603,0.27603243
45697.06341,2020,골목상권,2110994,개포고등학교,1,4,1777,797,494,183737,1,0,0,0,61589,0,0,0,86070.2,81914,362,2864.546627,0,0.974199938,2.922599815,0.277996624
46326.32246,2020,골목상권,2110995,봉은사역 4번,1,4,2802,1097,5085,137607,0,0,0,0,122756,0,0,0,76774.4,76557.5,893,2865.051224,0.081462413,0.24438724,0.407312066,1.814775161
47756.98913,2020,골목상권,2110996,대치2동주민센터,1,4,1430,682,1959,159080,2,0,0,0,112840,6,0,0,102892.2,101402,525,2864.701682,0.088621056,0.265863169,0.708968451,1.36993007
178830.8546,2020,골목상권,2110997,대청초등학교,1,4,7187,3441,1724,873376,1,0,0,0,236963,8040,0,0,392765,379994,836,2863.949582,0.548608855,0.886214303,1.89903065,0.239877557
188163.3207,2020,골목상권,2110999,윗방죽마을공원,1,4,3177,2401,268,18847,0,1,0,0,239796,1653,0,0,11517.4,12334.5,17,2863.376943,0.166808454,0.250212681,0.417021135,0.084356311
0,2020,골목상권,2111000,대왕초등학교(세곡동사거리서남측),1,4,444,201,39,2639,0,0,0,0,52892,505,0,0,7934.2,7073.5,0,2863.617216,0.189064509,0.567193526,0.567193526,0.087837838
