매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,점포수,시간대1,시간대2,시간대3,시간대4,시간대5,분기_1,분기_2,분기_3,총 상주인구 수,총 가구 수,총_직장인구_수,아파트_단지_수,아파트_가격_1_억_미만_세대_수,아파트_가격_1_억_세대_수,아파트_가격_2_억_세대_수,아파트_가격_3_억_세대_수,아파트_가격_4_억_세대_수,아파트_가격_5_억_세대_수,아파트_가격_6_억_이상_세대_수,총_생활인구_수,시간대_생활인구_수,월요일_생활인구_수,화요일_생활인구_수,수요일_생활인구_수,목요일_생활인구_수,금요일_생활인구_수,토요일_생활인구_수,일요일_생활인구_수,집객시설_수,관공서_수,은행_수,백화점_수,숙박_시설_수,area,연령대_10_생활인구_수,연령대_20_생활인구_수,연령대_30_생활인구_수,연령대_40_생활인구_수,연령대_50_생활인구_수,연령대_60_이상_생활인구_수,배후지_아파트_단지_수,배후지_아파트_가격_1_억_미만_세대_수,배후지_아파트_가격_1_억_세대_수,배후지_아파트_가격_2_억_세대_수,배후지_아파트_가격_3_억_세대_수,배후지_아파트_가격_4_억_세대_수,배후지_아파트_가격_5_억_세대_수,배후지_아파트_가격_6_억_이상_세대_수,시간대_버스_승하차승객수,시간대_지하철_승하차승객수,버스정류장_수,지하철역_수
197131.2083,2022,골목상권,2110992,도곡초등학교,8,0,1,0,0,0,1,0,0,7894,3681,2179,206,3,595,582,346,223,84,137,2028880,395595,276903,277635,283048,284199,286910,313602,306579,3,3,0,0,0,138866,732267,227127,216810,363353,259569,229752,175.00692990042427,21.93517428947504,593.2270188669984,616.5779749889234,295.06983446348966,149.58518758857952,99.62515986943946,1090.7311170587443,0,0,0,0
177768.3444,2022,골목상권,2110960,은광여고,3,0,1,0,0,0,1,0,0,727,422,1522,16,15,93,59,6,9,22,35,94774,22245,13883,13537,13728,13945,13993,12676,13011,3,0,0,0,0,25543,14948,14192,20968,16768,11157,16742,174.90156086319303,21.939692956536803,592.9965341640508,616.359618780241,294.9058137339291,149.46559469088885,99.5857487784764,1090.102906776537,0,0,0,0
122112.937,2022,골목상권,2110952,논현목련공원,3,0,1,0,0,0,1,0,0,868,571,117,27,6,103,102,26,14,3,4,204013,45124,29299,28827,29249,29412,29160,28568,29499,2,0,0,0,0,21629,15348,50305,51051,36762,23134,27414,174.93416481396295,21.932230019741983,593.0126484343666,616.4134863913073,294.9900723346456,149.49140692009996,99.58805693912868,1090.2120402090893,0,0,0,0
101183.5185,2022,골목상권,2111002,한국교통안전공단 강남자동차검사소,3,0,1,0,0,0,1,0,0,317,0,317,0,0,0,0,0,0,0,0,3222,765,459,495,468,480,492,456,372,5,0,0,0,0,59240,555,0,3,657,546,1461,174.93248471677865,21.938400362725343,592.9556288676039,616.2206820468409,295.0499855876765,149.50070088990168,99.58829993786384,1090.584855101738,6226,0,1,0
71797.58148,2022,골목상권,2110982,강남구보훈회관,3,0,1,0,0,0,1,0,0,827,406,166,22,2,93,56,35,8,7,5,214121,49376,30209,29983,30675,30628,30047,31087,31491,1,0,0,0,0,19865,41250,24328,38973,52795,26009,30766,174.93248471677865,21.93840036272535,592.9556288676039,616.2206820468409,295.0499855876764,149.50070088990168,99.58829993786388,1090.584855101738,0,0,0,0
81590.6037,2022,골목상권,2110972,강남세브란스병원미래의학연구센터,3,0,1,0,0,0,1,0,0,1921,1003,2628,56,0,206,139,135,106,44,4,319488,72885,46965,46244,46856,47419,47105,42161,42737,2,0,0,0,0,46603,43847,52436,65255,63211,43260,51478,174.94897892773147,21.94539681062404,593.0526778675493,616.3727765045223,295.1181598898605,149.5306474825865,99.60795640210914,1089.6734899035148,0,0,0,0
448473.1678,2022,골목상권,2110997,대청초등학교,10,0,1,0,0,0,1,0,0,7187,3441,1724,148,0,101,433,309,69,26,44,2134238,449163,306416,304795,308853,308594,307442,298607,299529,45,1,0,0,0,236963,341257,283382,339693,335868,316375,517662,174.92954438784207,21.94743951893078,592.9861981805883,616.3258425006003,295.0550116700711,149.49699636630504,99.57929384795884,1089.5820704445737,102457,0,9,0
329387.4111,2022,골목상권,2110975,매봉역 1번,6,0,1,0,0,0,1,0,0,890,353,10837,25,0,19,40,15,15,2,159,299069,62101,44194,43390,43700,44670,44032,39926,39158,12,0,0,0,0,52363,34932,45291,51962,46819,53898,66170,174.91010182046818,21.9560919103058,593.179087977441,616.2251922909765,294.76259325275186,149.46043998314366,99.50187926466596,1089.2452600647491,33637,563619,1,1
58885.37037,2022,골목상권,2110951,신사은행나무공원,3,0,1,0,0,0,1,0,0,979,574,273,16,3,95,36,10,5,5,23,478507,93016,70137,70184,71100,73604,73901,62010,57571,1,0,0,0,0,29000,39919,105969,129990,93550,49141,59939,174.95302214340106,21.957312931334428,593.3968405953582,616.4615513129884,294.8641060958964,149.50441372952247,99.53265244899669,1088.9520941250814,0,0,0,0
164982.3694,2022,골목상권,2110989,대치동아우편취급국,4,0,1,0,0,0,1,0,0,1588,904,444,60,1,257,235,115,49,22,8,632269,128102,93903,94182,96265,98260,97056,78373,74229,1,1,0,0,0,40587,122669,93868,123896,129219,86212,76404,174.98109030620296,21.96473024357373,593.5006806782146,616.5794619083263,294.9326166725572,149.52775301648222,99.53948130172242,1089.3399305951866,0,0,0,0
